Símbolo,Nombre,Precio Actual
MXN=X,USD/MXN,17.1370
EURMXN=X,EUR/MXN,19.7830
CLP=X,USD/CLP,955.3700
EURCLP=X,EUR/CLP,"1,102.9000"
COP=X,USD/COP,"3,111.8000"
EURCOP=X,EUR/COP,"3,594.5601"
ARS=X,USD/ARS,"1,506.0000"
EURARS=X,EUR/ARS,"1,737.5642"
PEN=X,USD/PEN,3.3532
VEF=X,USD/VEF,"248,209.0000"
CRC=X,USD/CRC,444.4500
BRL=X,USD/BRL,5.1486
EURUSD=X,EUR/USD,1.1545
JPY=X,USD/JPY,155.1170
GBPUSD=X,GBP/USD,1.3471
CHF=X,USD/CHF,0.8189
AUDUSD=X,AUD/USD,0.7132
USDCAD=X,USD/CAD,1.3929
EURJPY=X,EUR/JPY,179.0120
GBPJPY=X,GBP/JPY,208.9370
EURGBP=X,EUR/GBP,0.8567
EURCHF=X,EUR/CHF,0.9451
USDCNY=X,USD/CNY,6.7067
USDHKD=X,USD/HKD,7.8444
USDSGD=X,USD/SGD,1.2733
USDINR=X,USD/INR,95.9750
USDRUB=X,USD/RUB,84.1380
